GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ABA1E001,NAME_M,ABA1M001
G0100010,2010-2014,AL,,,Alabama,1,Autauga County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01001,,,"Autauga County, Alabama",55136,"Autauga County, Alabama",0
G0100030,2010-2014,AL,,,Alabama,1,Baldwin County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01003,,,"Baldwin County, Alabama",191205,"Baldwin County, Alabama",0
G0100050,2010-2014,AL,,,Alabama,1,Barbour County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01005,,,"Barbour County, Alabama",27119,"Barbour County, Alabama",0
G0100070,2010-2014,AL,,,Alabama,1,Bibb County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01007,,,"Bibb County, Alabama",22653,"Bibb County, Alabama",0
G0100090,2010-2014,AL,,,Alabama,1,Blount County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01009,,,"Blount County, Alabama",57645,"Blount County, Alabama",0
G0100110,2010-2014,AL,,,Alabama,1,Bullock County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01011,,,"Bullock County, Alabama",10693,"Bullock County, Alabama",0
G0100130,2010-2014,AL,,,Alabama,1,Butler County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01013,,,"Butler County, Alabama",20523,"Butler County, Alabama",0
G0100150,2010-2014,AL,,,Alabama,1,Calhoun County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01015,,,"Calhoun County, Alabama",117186,"Calhoun County, Alabama",0
G0100170,2010-2014,AL,,,Alabama,1,Chambers County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01017,,,"Chambers County, Alabama",34091,"Chambers County, Alabama",0
G0100190,2010-2014,AL,,,Alabama,1,Cherokee County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01019,,,"Cherokee County, Alabama",26042,"Cherokee County, Alabama",0
G0100210,2010-2014,AL,,,Alabama,1,Chilton County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01021,,,"Chilton County, Alabama",43781,"Chilton County, Alabama",0
G0100230,2010-2014,AL,,,Alabama,1,Choctaw County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01023,,,"Choctaw County, Alabama",13546,"Choctaw County, Alabama",0
G0100250,2010-2014,AL,,,Alabama,1,Clarke County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01025,,,"Clarke County, Alabama",25331,"Clarke County, Alabama",0
G0100270,2010-2014,AL,,,Alabama,1,Clay County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01027,,,"Clay County, Alabama",13617,"Clay County, Alabama",0
G0100290,2010-2014,AL,,,Alabama,1,Cleburne County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01029,,,"Cleburne County, Alabama",14990,"Cleburne County, Alabama",0
G0100310,2010-2014,AL,,,Alabama,1,Coffee County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01031,,,"Coffee County, Alabama",50726,"Coffee County, Alabama",0
G0100330,2010-2014,AL,,,Alabama,1,Colbert County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01033,,,"Colbert County, Alabama",54491,"Colbert County, Alabama",0
G0100350,2010-2014,AL,,,Alabama,1,Conecuh County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01035,,,"Conecuh County, Alabama",12985,"Conecuh County, Alabama",0
G0100370,2010-2014,AL,,,Alabama,1,Coosa County,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01037,,,"Coosa County, Alabama",11247,"Coosa County, Alabama",0
G0100390,2010-2014,AL,,,Alabama,1,Covington County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01039,,,"Covington County, Alabama",37881,"Covington County, Alabama",0
G0100410,2010-2014,AL,,,Alabama,1,Crenshaw County,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01041,,,"Crenshaw County, Alabama",13938,"Crenshaw County, Alabama",0
G0100430,2010-2014,AL,,,Alabama,1,Cullman County,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01043,,,"Cullman County, Alabama",80668,"Cullman County, Alabama",0
G0100450,2010-2014,AL,,,Alabama,1,Dale County,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01045,,,"Dale County, Alabama",50013,"Dale County, Alabama",0
G0100470,2010-2014,AL,,,Alabama,1,Dallas County,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01047,,,"Dallas County, Alabama",42743,"Dallas County, Alabama",0
G0100490,2010-2014,AL,,,Alabama,1,DeKalb County,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01049,,,"DeKalb County, Alabama",71074,"DeKalb County, Alabama",0
G0100510,2010-2014,AL,,,Alabama,1,Elmore County,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01051,,,"Elmore County, Alabama",80321,"Elmore County, Alabama",0
G0100530,2010-2014,AL,,,Alabama,1,Escambia County,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01053,,,"Escambia County, Alabama",38042,"Escambia County, Alabama",0
G0100550,2010-2014,AL,,,Alabama,1,Etowah County,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01055,,,"Etowah County, Alabama",104126,"Etowah County, Alabama",0
G0100570,2010-2014,AL,,,Alabama,1,Fayette County,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01057,,,"Fayette County, Alabama",17019,"Fayette County, Alabama",0
G0100590,2010-2014,AL,,,Alabama,1,Franklin County,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01059,,,"Franklin County, Alabama",31663,"Franklin County, Alabama",0
G0100610,2010-2014,AL,,,Alabama,1,Geneva County,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01061,,,"Geneva County, Alabama",26816,"Geneva County, Alabama",0
G0100630,2010-2014,AL,,,Alabama,1,Greene County,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01063,,,"Greene County, Alabama",8798,"Greene County, Alabama",0
G0100650,2010-2014,AL,,,Alabama,1,Hale County,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01065,,,"Hale County, Alabama",15393,"Hale County, Alabama",0
G0100670,2010-2014,AL,,,Alabama,1,Henry County,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01067,,,"Henry County, Alabama",17270,"Henry County, Alabama",0
G0100690,2010-2014,AL,,,Alabama,1,Houston County,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01069,,,"Houston County, Alabama",103079,"Houston County, Alabama",0
G0100710,2010-2014,AL,,,Alabama,1,Jackson County,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01071,,,"Jackson County, Alabama",53012,"Jackson County, Alabama",0
G0100730,2010-2014,AL,,,Alabama,1,Jefferson County,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01073,,,"Jefferson County, Alabama",658834,"Jefferson County, Alabama",0
G0100750,2010-2014,AL,,,Alabama,1,Lamar County,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01075,,,"Lamar County, Alabama",14268,"Lamar County, Alabama",0
G0100770,2010-2014,AL,,,Alabama,1,Lauderdale County,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01077,,,"Lauderdale County, Alabama",92780,"Lauderdale County, Alabama",0
G0100790,2010-2014,AL,,,Alabama,1,Lawrence County,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01079,,,"Lawrence County, Alabama",33835,"Lawrence County, Alabama",0
G0100810,2010-2014,AL,,,Alabama,1,Lee County,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01081,,,"Lee County, Alabama",147790,"Lee County, Alabama",0
G0100830,2010-2014,AL,,,Alabama,1,Limestone County,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01083,,,"Limestone County, Alabama",87167,"Limestone County, Alabama",0
G0100850,2010-2014,AL,,,Alabama,1,Lowndes County,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01085,,,"Lowndes County, Alabama",10918,"Lowndes County, Alabama",0
G0100870,2010-2014,AL,,,Alabama,1,Macon County,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01087,,,"Macon County, Alabama",20505,"Macon County, Alabama",0
G0100890,2010-2014,AL,,,Alabama,1,Madison County,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01089,,,"Madison County, Alabama",343229,"Madison County, Alabama",0
G0100910,2010-2014,AL,,,Alabama,1,Marengo County,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01091,,,"Marengo County, Alabama",20489,"Marengo County, Alabama",0
G0100930,2010-2014,AL,,,Alabama,1,Marion County,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01093,,,"Marion County, Alabama",30527,"Marion County, Alabama",0
G0100950,2010-2014,AL,,,Alabama,1,Marshall County,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01095,,,"Marshall County, Alabama",94121,"Marshall County, Alabama",0
G0100970,2010-2014,AL,,,Alabama,1,Mobile County,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01097,,,"Mobile County, Alabama",414045,"Mobile County, Alabama",0
G0100990,2010-2014,AL,,,Alabama,1,Monroe County,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01099,,,"Monroe County, Alabama",22509,"Monroe County, Alabama",0
G0101010,2010-2014,AL,,,Alabama,1,Montgomery County,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01101,,,"Montgomery County, Alabama",228850,"Montgomery County, Alabama",0
G0101030,2010-2014,AL,,,Alabama,1,Morgan County,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01103,,,"Morgan County, Alabama",119744,"Morgan County, Alabama",0
G0101050,2010-2014,AL,,,Alabama,1,Perry County,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01105,,,"Perry County, Alabama",10203,"Perry County, Alabama",0
G0101070,2010-2014,AL,,,Alabama,1,Pickens County,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01107,,,"Pickens County, Alabama",19629,"Pickens County, Alabama",0
G0101090,2010-2014,AL,,,Alabama,1,Pike County,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01109,,,"Pike County, Alabama",33216,"Pike County, Alabama",0
G0101110,2010-2014,AL,,,Alabama,1,Randolph County,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01111,,,"Randolph County, Alabama",22724,"Randolph County, Alabama",0
G0101130,2010-2014,AL,,,Alabama,1,Russell County,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01113,,,"Russell County, Alabama",56980,"Russell County, Alabama",0
G0101150,2010-2014,AL,,,Alabama,1,St. Clair County,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01115,,,"St. Clair County, Alabama",85242,"St. Clair County, Alabama",0
G0101170,2010-2014,AL,,,Alabama,1,Shelby County,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01117,,,"Shelby County, Alabama",201168,"Shelby County, Alabama",0
G0101190,2010-2014,AL,,,Alabama,1,Sumter County,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01119,,,"Sumter County, Alabama",13433,"Sumter County, Alabama",0
G0101210,2010-2014,AL,,,Alabama,1,Talladega County,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01121,,,"Talladega County, Alabama",81673,"Talladega County, Alabama",0
G0101230,2010-2014,AL,,,Alabama,1,Tallapoosa County,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01123,,,"Tallapoosa County, Alabama",41295,"Tallapoosa County, Alabama",0
G0101250,2010-2014,AL,,,Alabama,1,Tuscaloosa County,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01125,,,"Tuscaloosa County, Alabama",198670,"Tuscaloosa County, Alabama",0
G0101270,2010-2014,AL,,,Alabama,1,Walker County,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01127,,,"Walker County, Alabama",66211,"Walker County, Alabama",0
G0101290,2010-2014,AL,,,Alabama,1,Washington County,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01129,,,"Washington County, Alabama",17137,"Washington County, Alabama",0
G0101310,2010-2014,AL,,,Alabama,1,Wilcox County,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01131,,,"Wilcox County, Alabama",11367,"Wilcox County, Alabama",0
G0101330,2010-2014,AL,,,Alabama,1,Winston County,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01133,,,"Winston County, Alabama",24256,"Winston County, Alabama",0
G0200130,2010-2014,AK,,,Alaska,2,Aleutians East Borough,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02013,,,"Aleutians East Borough, Alaska",3296,"Aleutians East Borough, Alaska",0
G0200160,2010-2014,AK,,,Alaska,2,Aleutians West Census Area,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02016,,,"Aleutians West Census Area, Alaska",5650,"Aleutians West Census Area, Alaska",0
G0200200,2010-2014,AK,,,Alaska,2,Anchorage Municipality,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02020,,,"Anchorage Municipality, Alaska",298178,"Anchorage Municipality, Alaska",0
G0200500,2010-2014,AK,,,Alaska,2,Bethel Census Area,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02050,,,"Bethel Census Area, Alaska",17576,"Bethel Census Area, Alaska",0
G0200600,2010-2014,AK,,,Alaska,2,Bristol Bay Borough,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02060,,,"Bristol Bay Borough, Alaska",995,"Bristol Bay Borough, Alaska",94
G0200680,2010-2014,AK,,,Alaska,2,Denali Borough,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02068,,,"Denali Borough, Alaska",2048,"Denali Borough, Alaska",126
G0200700,2010-2014,AK,,,Alaska,2,Dillingham Census Area,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02070,,,"Dillingham Census Area, Alaska",4956,"Dillingham Census Area, Alaska",0
G0200900,2010-2014,AK,,,Alaska,2,Fairbanks North Star Borough,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02090,,,"Fairbanks North Star Borough, Alaska",99319,"Fairbanks North Star Borough, Alaska",0
G0201000,2010-2014,AK,,,Alaska,2,Haines Borough,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02100,,,"Haines Borough, Alaska",2557,"Haines Borough, Alaska",0
G0201050,2010-2014,AK,,,Alaska,2,Hoonah-Angoon Census Area,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02105,,,"Hoonah-Angoon Census Area, Alaska",2126,"Hoonah-Angoon Census Area, Alaska",0
G0201100,2010-2014,AK,,,Alaska,2,Juneau City and Borough,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02110,,,"Juneau City and Borough, Alaska",32200,"Juneau City and Borough, Alaska",0
G0201220,2010-2014,AK,,,Alaska,2,Kenai Peninsula Borough,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02122,,,"Kenai Peninsula Borough, Alaska",56687,"Kenai Peninsula Borough, Alaska",0
G0201300,2010-2014,AK,,,Alaska,2,Ketchikan Gateway Borough,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02130,,,"Ketchikan Gateway Borough, Alaska",13676,"Ketchikan Gateway Borough, Alaska",0
G0201500,2010-2014,AK,,,Alaska,2,Kodiak Island Borough,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02150,,,"Kodiak Island Borough, Alaska",13924,"Kodiak Island Borough, Alaska",0
G0201640,2010-2014,AK,,,Alaska,2,Lake and Peninsula Borough,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02164,,,"Lake and Peninsula Borough, Alaska",1490,"Lake and Peninsula Borough, Alaska",126
G0201700,2010-2014,AK,,,Alaska,2,Matanuska-Susitna Borough,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02170,,,"Matanuska-Susitna Borough, Alaska",93843,"Matanuska-Susitna Borough, Alaska",0
G0201800,2010-2014,AK,,,Alaska,2,Nome Census Area,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02180,,,"Nome Census Area, Alaska",9792,"Nome Census Area, Alaska",0
G0201850,2010-2014,AK,,,Alaska,2,North Slope Borough,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02185,,,"North Slope Borough, Alaska",9618,"North Slope Borough, Alaska",0
G0201880,2010-2014,AK,,,Alaska,2,Northwest Arctic Borough,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02188,,,"Northwest Arctic Borough, Alaska",7672,"Northwest Arctic Borough, Alaska",0
G0201950,2010-2014,AK,,,Alaska,2,Petersburg Borough,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02195,,,"Petersburg Borough, Alaska",3212,"Petersburg Borough, Alaska",0
G0201980,2010-2014,AK,,,Alaska,2,Prince of Wales-Hyder Census Area,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02198,,,"Prince of Wales-Hyder Census Area, Alaska",6356,"Prince of Wales-Hyder Census Area, Alaska",0
G0202200,2010-2014,AK,,,Alaska,2,Sitka City and Borough,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02220,,,"Sitka City and Borough, Alaska",8957,"Sitka City and Borough, Alaska",0
G0202300,2010-2014,AK,,,Alaska,2,Skagway Municipality,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02230,,,"Skagway Municipality, Alaska",996,"Skagway Municipality, Alaska",140
G0202400,2010-2014,AK,,,Alaska,2,Southeast Fairbanks Census Area,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02240,,,"Southeast Fairbanks Census Area, Alaska",7044,"Southeast Fairbanks Census Area, Alaska",0
G0202610,2010-2014,AK,,,Alaska,2,Valdez-Cordova Census Area,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02261,,,"Valdez-Cordova Census Area, Alaska",9685,"Valdez-Cordova Census Area, Alaska",0
G0202700,2010-2014,AK,,,Alaska,2,Wade Hampton Census Area,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02270,,,"Wade Hampton Census Area, Alaska",7778,"Wade Hampton Census Area, Alaska",0
G0202750,2010-2014,AK,,,Alaska,2,Wrangell City and Borough,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02275,,,"Wrangell City and Borough, Alaska",2383,"Wrangell City and Borough, Alaska",0
G0202820,2010-2014,AK,,,Alaska,2,Yakutat City and Borough,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02282,,,"Yakutat City and Borough, Alaska",635,"Yakutat City and Borough, Alaska",83
G0202900,2010-2014,AK,,,Alaska,2,Yukon-Koyukuk Census Area,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02290,,,"Yukon-Koyukuk Census Area, Alaska",5651,"Yukon-Koyukuk Census Area, Alaska",0
G0400010,2010-2014,AZ,,,Arizona,4,Apache County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04001,,,"Apache County, Arizona",72142,"Apache County, Arizona",0
G0400030,2010-2014,AZ,,,Arizona,4,Cochise County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04003,,,"Cochise County, Arizona",130807,"Cochise County, Arizona",0
G0400050,2010-2014,AZ,,,Arizona,4,Coconino County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04005,,,"Coconino County, Arizona",135817,"Coconino County, Arizona",0
G0400070,2010-2014,AZ,,,Arizona,4,Gila County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04007,,,"Gila County, Arizona",53242,"Gila County, Arizona",0
G0400090,2010-2014,AZ,,,Arizona,4,Graham County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04009,,,"Graham County, Arizona",37311,"Graham County, Arizona",0
G0400110,2010-2014,AZ,,,Arizona,4,Greenlee County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04011,,,"Greenlee County, Arizona",8800,"Greenlee County, Arizona",0
G0400120,2010-2014,AZ,,,Arizona,4,La Paz County,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04012,,,"La Paz County, Arizona",20348,"La Paz County, Arizona",0
G0400130,2010-2014,AZ,,,Arizona,4,Maricopa County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04013,,,"Maricopa County, Arizona",3947382,"Maricopa County, Arizona",0
G0400150,2010-2014,AZ,,,Arizona,4,Mohave County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04015,,,"Mohave County, Arizona",202482,"Mohave County, Arizona",0
G0400170,2010-2014,AZ,,,Arizona,4,Navajo County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04017,,,"Navajo County, Arizona",107489,"Navajo County, Arizona",0
G0400190,2010-2014,AZ,,,Arizona,4,Pima County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04019,,,"Pima County, Arizona",993144,"Pima County, Arizona",0
G0400210,2010-2014,AZ,,,Arizona,4,Pinal County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04021,,,"Pinal County, Arizona",390160,"Pinal County, Arizona",0
G0400230,2010-2014,AZ,,,Arizona,4,Santa Cruz County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04023,,,"Santa Cruz County, Arizona",47250,"Santa Cruz County, Arizona",0
G0400250,2010-2014,AZ,,,Arizona,4,Yavapai County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04025,,,"Yavapai County, Arizona",213689,"Yavapai County, Arizona",0
G0400270,2010-2014,AZ,,,Arizona,4,Yuma County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04027,,,"Yuma County, Arizona",201453,"Yuma County, Arizona",0
G0500010,2010-2014,AR,,,Arkansas,5,Arkansas County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05001,,,"Arkansas County, Arkansas",18861,"Arkansas County, Arkansas",0
G0500030,2010-2014,AR,,,Arkansas,5,Ashley County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05003,,,"Ashley County, Arkansas",21437,"Ashley County, Arkansas",0
G0500050,2010-2014,AR,,,Arkansas,5,Baxter County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05005,,,"Baxter County, Arkansas",41154,"Baxter County, Arkansas",0
G0500070,2010-2014,AR,,,Arkansas,5,Benton County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05007,,,"Benton County, Arkansas",232611,"Benton County, Arkansas",0
G0500090,2010-2014,AR,,,Arkansas,5,Boone County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05009,,,"Boone County, Arkansas",37169,"Boone County, Arkansas",0
G0500110,2010-2014,AR,,,Arkansas,5,Bradley County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05011,,,"Bradley County, Arkansas",11316,"Bradley County, Arkansas",0
G0500130,2010-2014,AR,,,Arkansas,5,Calhoun County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05013,,,"Calhoun County, Arkansas",5266,"Calhoun County, Arkansas",0
G0500150,2010-2014,AR,,,Arkansas,5,Carroll County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05015,,,"Carroll County, Arkansas",27626,"Carroll County, Arkansas",0
G0500170,2010-2014,AR,,,Arkansas,5,Chicot County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05017,,,"Chicot County, Arkansas",11489,"Chicot County, Arkansas",0
G0500190,2010-2014,AR,,,Arkansas,5,Clark County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05019,,,"Clark County, Arkansas",22800,"Clark County, Arkansas",0
G0500210,2010-2014,AR,,,Arkansas,5,Clay County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05021,,,"Clay County, Arkansas",15577,"Clay County, Arkansas",0
G0500230,2010-2014,AR,,,Arkansas,5,Cleburne County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05023,,,"Cleburne County, Arkansas",25793,"Cleburne County, Arkansas",0
G0500250,2010-2014,AR,,,Arkansas,5,Cleveland County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05025,,,"Cleveland County, Arkansas",8597,"Cleveland County, Arkansas",0
G0500270,2010-2014,AR,,,Arkansas,5,Columbia County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05027,,,"Columbia County, Arkansas",24400,"Columbia County, Arkansas",0
G0500290,2010-2014,AR,,,Arkansas,5,Conway County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05029,,,"Conway County, Arkansas",21175,"Conway County, Arkansas",0
G0500310,2010-2014,AR,,,Arkansas,5,Craighead County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05031,,,"Craighead County, Arkansas",99835,"Craighead County, Arkansas",0
G0500330,2010-2014,AR,,,Arkansas,5,Crawford County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05033,,,"Crawford County, Arkansas",61825,"Crawford County, Arkansas",0
G0500350,2010-2014,AR,,,Arkansas,5,Crittenden County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05035,,,"Crittenden County, Arkansas",50172,"Crittenden County, Arkansas",0
G0500370,2010-2014,AR,,,Arkansas,5,Cross County,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05037,,,"Cross County, Arkansas",17595,"Cross County, Arkansas",0
G0500390,2010-2014,AR,,,Arkansas,5,Dallas County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05039,,,"Dallas County, Arkansas",7954,"Dallas County, Arkansas",0
G0500410,2010-2014,AR,,,Arkansas,5,Desha County,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05041,,,"Desha County, Arkansas",12602,"Desha County, Arkansas",0
G0500430,2010-2014,AR,,,Arkansas,5,Drew County,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05043,,,"Drew County, Arkansas",18705,"Drew County, Arkansas",0
G0500450,2010-2014,AR,,,Arkansas,5,Faulkner County,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05045,,,"Faulkner County, Arkansas",117804,"Faulkner County, Arkansas",0
G0500470,2010-2014,AR,,,Arkansas,5,Franklin County,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05047,,,"Franklin County, Arkansas",17960,"Franklin County, Arkansas",0
G0500490,2010-2014,AR,,,Arkansas,5,Fulton County,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05049,,,"Fulton County, Arkansas",12218,"Fulton County, Arkansas",0
