GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JMAE001,NAME_M,JMAM001
G0100010,2006-2010,AL,,,Alabama,1,Autauga County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01001,,,"Autauga County, Alabama",53155,"Autauga County, Alabama",0
G0100030,2006-2010,AL,,,Alabama,1,Baldwin County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01003,,,"Baldwin County, Alabama",175791,"Baldwin County, Alabama",0
G0100050,2006-2010,AL,,,Alabama,1,Barbour County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01005,,,"Barbour County, Alabama",27699,"Barbour County, Alabama",0
G0100070,2006-2010,AL,,,Alabama,1,Bibb County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01007,,,"Bibb County, Alabama",22610,"Bibb County, Alabama",0
G0100090,2006-2010,AL,,,Alabama,1,Blount County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01009,,,"Blount County, Alabama",56692,"Blount County, Alabama",0
G0100110,2006-2010,AL,,,Alabama,1,Bullock County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01011,,,"Bullock County, Alabama",10923,"Bullock County, Alabama",0
G0100130,2006-2010,AL,,,Alabama,1,Butler County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01013,,,"Butler County, Alabama",20895,"Butler County, Alabama",0
G0100150,2006-2010,AL,,,Alabama,1,Calhoun County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01015,,,"Calhoun County, Alabama",117149,"Calhoun County, Alabama",0
G0100170,2006-2010,AL,,,Alabama,1,Chambers County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01017,,,"Chambers County, Alabama",34579,"Chambers County, Alabama",0
G0100190,2006-2010,AL,,,Alabama,1,Cherokee County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01019,,,"Cherokee County, Alabama",25700,"Cherokee County, Alabama",0
G0100210,2006-2010,AL,,,Alabama,1,Chilton County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01021,,,"Chilton County, Alabama",43121,"Chilton County, Alabama",0
G0100230,2006-2010,AL,,,Alabama,1,Choctaw County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01023,,,"Choctaw County, Alabama",14111,"Choctaw County, Alabama",0
G0100250,2006-2010,AL,,,Alabama,1,Clarke County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01025,,,"Clarke County, Alabama",26255,"Clarke County, Alabama",0
G0100270,2006-2010,AL,,,Alabama,1,Clay County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01027,,,"Clay County, Alabama",14040,"Clay County, Alabama",0
G0100290,2006-2010,AL,,,Alabama,1,Cleburne County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01029,,,"Cleburne County, Alabama",14823,"Cleburne County, Alabama",0
G0100310,2006-2010,AL,,,Alabama,1,Coffee County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01031,,,"Coffee County, Alabama",48349,"Coffee County, Alabama",0
G0100330,2006-2010,AL,,,Alabama,1,Colbert County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01033,,,"Colbert County, Alabama",54446,"Colbert County, Alabama",0
G0100350,2006-2010,AL,,,Alabama,1,Conecuh County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01035,,,"Conecuh County, Alabama",13382,"Conecuh County, Alabama",0
G0100370,2006-2010,AL,,,Alabama,1,Coosa County,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01037,,,"Coosa County, Alabama",11470,"Coosa County, Alabama",0
G0100390,2006-2010,AL,,,Alabama,1,Covington County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01039,,,"Covington County, Alabama",37608,"Covington County, Alabama",0
G0100410,2006-2010,AL,,,Alabama,1,Crenshaw County,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01041,,,"Crenshaw County, Alabama",13928,"Crenshaw County, Alabama",0
G0100430,2006-2010,AL,,,Alabama,1,Cullman County,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01043,,,"Cullman County, Alabama",79941,"Cullman County, Alabama",0
G0100450,2006-2010,AL,,,Alabama,1,Dale County,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01045,,,"Dale County, Alabama",49730,"Dale County, Alabama",0
G0100470,2006-2010,AL,,,Alabama,1,Dallas County,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01047,,,"Dallas County, Alabama",44066,"Dallas County, Alabama",0
G0100490,2006-2010,AL,,,Alabama,1,DeKalb County,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01049,,,"DeKalb County, Alabama",70038,"DeKalb County, Alabama",0
G0100510,2006-2010,AL,,,Alabama,1,Elmore County,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01051,,,"Elmore County, Alabama",77650,"Elmore County, Alabama",0
G0100530,2006-2010,AL,,,Alabama,1,Escambia County,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01053,,,"Escambia County, Alabama",37996,"Escambia County, Alabama",0
G0100550,2006-2010,AL,,,Alabama,1,Etowah County,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01055,,,"Etowah County, Alabama",104066,"Etowah County, Alabama",0
G0100570,2006-2010,AL,,,Alabama,1,Fayette County,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01057,,,"Fayette County, Alabama",17472,"Fayette County, Alabama",0
G0100590,2006-2010,AL,,,Alabama,1,Franklin County,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01059,,,"Franklin County, Alabama",31383,"Franklin County, Alabama",0
G0100610,2006-2010,AL,,,Alabama,1,Geneva County,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01061,,,"Geneva County, Alabama",26541,"Geneva County, Alabama",0
G0100630,2006-2010,AL,,,Alabama,1,Greene County,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01063,,,"Greene County, Alabama",9255,"Greene County, Alabama",0
G0100650,2006-2010,AL,,,Alabama,1,Hale County,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01065,,,"Hale County, Alabama",16168,"Hale County, Alabama",0
G0100670,2006-2010,AL,,,Alabama,1,Henry County,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01067,,,"Henry County, Alabama",17148,"Henry County, Alabama",0
G0100690,2006-2010,AL,,,Alabama,1,Houston County,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01069,,,"Houston County, Alabama",99029,"Houston County, Alabama",0
G0100710,2006-2010,AL,,,Alabama,1,Jackson County,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01071,,,"Jackson County, Alabama",53386,"Jackson County, Alabama",0
G0100730,2006-2010,AL,,,Alabama,1,Jefferson County,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01073,,,"Jefferson County, Alabama",656912,"Jefferson County, Alabama",0
G0100750,2006-2010,AL,,,Alabama,1,Lamar County,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01075,,,"Lamar County, Alabama",14743,"Lamar County, Alabama",0
G0100770,2006-2010,AL,,,Alabama,1,Lauderdale County,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01077,,,"Lauderdale County, Alabama",91762,"Lauderdale County, Alabama",0
G0100790,2006-2010,AL,,,Alabama,1,Lawrence County,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01079,,,"Lawrence County, Alabama",34235,"Lawrence County, Alabama",0
G0100810,2006-2010,AL,,,Alabama,1,Lee County,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01081,,,"Lee County, Alabama",135010,"Lee County, Alabama",0
G0100830,2006-2010,AL,,,Alabama,1,Limestone County,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01083,,,"Limestone County, Alabama",78614,"Limestone County, Alabama",0
G0100850,2006-2010,AL,,,Alabama,1,Lowndes County,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01085,,,"Lowndes County, Alabama",11731,"Lowndes County, Alabama",0
G0100870,2006-2010,AL,,,Alabama,1,Macon County,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01087,,,"Macon County, Alabama",21699,"Macon County, Alabama",0
G0100890,2006-2010,AL,,,Alabama,1,Madison County,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01089,,,"Madison County, Alabama",323080,"Madison County, Alabama",0
G0100910,2006-2010,AL,,,Alabama,1,Marengo County,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01091,,,"Marengo County, Alabama",21296,"Marengo County, Alabama",0
G0100930,2006-2010,AL,,,Alabama,1,Marion County,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01093,,,"Marion County, Alabama",30792,"Marion County, Alabama",0
G0100950,2006-2010,AL,,,Alabama,1,Marshall County,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01095,,,"Marshall County, Alabama",90867,"Marshall County, Alabama",0
G0100970,2006-2010,AL,,,Alabama,1,Mobile County,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01097,,,"Mobile County, Alabama",408620,"Mobile County, Alabama",0
G0100990,2006-2010,AL,,,Alabama,1,Monroe County,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01099,,,"Monroe County, Alabama",23329,"Monroe County, Alabama",0
G0101010,2006-2010,AL,,,Alabama,1,Montgomery County,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01101,,,"Montgomery County, Alabama",228018,"Montgomery County, Alabama",0
G0101030,2006-2010,AL,,,Alabama,1,Morgan County,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01103,,,"Morgan County, Alabama",117632,"Morgan County, Alabama",0
G0101050,2006-2010,AL,,,Alabama,1,Perry County,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01105,,,"Perry County, Alabama",10684,"Perry County, Alabama",0
G0101070,2006-2010,AL,,,Alabama,1,Pickens County,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01107,,,"Pickens County, Alabama",19917,"Pickens County, Alabama",0
G0101090,2006-2010,AL,,,Alabama,1,Pike County,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01109,,,"Pike County, Alabama",32147,"Pike County, Alabama",0
G0101110,2006-2010,AL,,,Alabama,1,Randolph County,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01111,,,"Randolph County, Alabama",22817,"Randolph County, Alabama",0
G0101130,2006-2010,AL,,,Alabama,1,Russell County,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01113,,,"Russell County, Alabama",51663,"Russell County, Alabama",0
G0101150,2006-2010,AL,,,Alabama,1,St. Clair County,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01115,,,"St. Clair County, Alabama",80658,"St. Clair County, Alabama",0
G0101170,2006-2010,AL,,,Alabama,1,Shelby County,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01117,,,"Shelby County, Alabama",187880,"Shelby County, Alabama",0
G0101190,2006-2010,AL,,,Alabama,1,Sumter County,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01119,,,"Sumter County, Alabama",13871,"Sumter County, Alabama",0
G0101210,2006-2010,AL,,,Alabama,1,Talladega County,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01121,,,"Talladega County, Alabama",82347,"Talladega County, Alabama",0
G0101230,2006-2010,AL,,,Alabama,1,Tallapoosa County,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01123,,,"Tallapoosa County, Alabama",41534,"Tallapoosa County, Alabama",0
G0101250,2006-2010,AL,,,Alabama,1,Tuscaloosa County,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01125,,,"Tuscaloosa County, Alabama",188331,"Tuscaloosa County, Alabama",0
G0101270,2006-2010,AL,,,Alabama,1,Walker County,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01127,,,"Walker County, Alabama",67612,"Walker County, Alabama",0
G0101290,2006-2010,AL,,,Alabama,1,Washington County,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01129,,,"Washington County, Alabama",17556,"Washington County, Alabama",0
G0101310,2006-2010,AL,,,Alabama,1,Wilcox County,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01131,,,"Wilcox County, Alabama",12012,"Wilcox County, Alabama",0
G0101330,2006-2010,AL,,,Alabama,1,Winston County,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01133,,,"Winston County, Alabama",24687,"Winston County, Alabama",0
G0200130,2006-2010,AK,,,Alaska,2,Aleutians East Borough,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02013,,,"Aleutians East Borough, Alaska",3703,"Aleutians East Borough, Alaska",765
G0200160,2006-2010,AK,,,Alaska,2,Aleutians West Census Area,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02016,,,"Aleutians West Census Area, Alaska",6259,"Aleutians West Census Area, Alaska",1006
G0200200,2006-2010,AK,,,Alaska,2,Anchorage Municipality,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02020,,,"Anchorage Municipality, Alaska",284267,"Anchorage Municipality, Alaska",0
G0200500,2006-2010,AK,,,Alaska,2,Bethel Census Area,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02050,,,"Bethel Census Area, Alaska",16838,"Bethel Census Area, Alaska",0
G0200600,2006-2010,AK,,,Alaska,2,Bristol Bay Borough,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02060,,,"Bristol Bay Borough, Alaska",1049,"Bristol Bay Borough, Alaska",134
G0200680,2006-2010,AK,,,Alaska,2,Denali Borough,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02068,,,"Denali Borough, Alaska",1144,"Denali Borough, Alaska",304
G0200700,2006-2010,AK,,,Alaska,2,Dillingham Census Area,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02070,,,"Dillingham Census Area, Alaska",4817,"Dillingham Census Area, Alaska",0
G0200900,2006-2010,AK,,,Alaska,2,Fairbanks North Star Borough,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02090,,,"Fairbanks North Star Borough, Alaska",94439,"Fairbanks North Star Borough, Alaska",0
G0201000,2006-2010,AK,,,Alaska,2,Haines Borough,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02100,,,"Haines Borough, Alaska",1658,"Haines Borough, Alaska",492
G0201050,2006-2010,AK,,,Alaska,2,Hoonah-Angoon Census Area,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02105,,,"Hoonah-Angoon Census Area, Alaska",2029,"Hoonah-Angoon Census Area, Alaska",196
G0201100,2006-2010,AK,,,Alaska,2,Juneau City and Borough,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02110,,,"Juneau City and Borough, Alaska",30975,"Juneau City and Borough, Alaska",0
G0201220,2006-2010,AK,,,Alaska,2,Kenai Peninsula Borough,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02122,,,"Kenai Peninsula Borough, Alaska",53917,"Kenai Peninsula Borough, Alaska",0
G0201300,2006-2010,AK,,,Alaska,2,Ketchikan Gateway Borough,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02130,,,"Ketchikan Gateway Borough, Alaska",13396,"Ketchikan Gateway Borough, Alaska",0
G0201500,2006-2010,AK,,,Alaska,2,Kodiak Island Borough,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02150,,,"Kodiak Island Borough, Alaska",13349,"Kodiak Island Borough, Alaska",0
G0201640,2006-2010,AK,,,Alaska,2,Lake and Peninsula Borough,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02164,,,"Lake and Peninsula Borough, Alaska",1626,"Lake and Peninsula Borough, Alaska",153
G0201700,2006-2010,AK,,,Alaska,2,Matanuska-Susitna Borough,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02170,,,"Matanuska-Susitna Borough, Alaska",84147,"Matanuska-Susitna Borough, Alaska",0
G0201800,2006-2010,AK,,,Alaska,2,Nome Census Area,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02180,,,"Nome Census Area, Alaska",9315,"Nome Census Area, Alaska",0
G0201850,2006-2010,AK,,,Alaska,2,North Slope Borough,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02185,,,"North Slope Borough, Alaska",8852,"North Slope Borough, Alaska",0
G0201880,2006-2010,AK,,,Alaska,2,Northwest Arctic Borough,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02188,,,"Northwest Arctic Borough, Alaska",7477,"Northwest Arctic Borough, Alaska",0
G0201950,2006-2010,AK,,,Alaska,2,Petersburg Census Area,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02195,,,"Petersburg Census Area, Alaska",3841,"Petersburg Census Area, Alaska",0
G0201980,2006-2010,AK,,,Alaska,2,Prince of Wales-Hyder Census Area,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02198,,,"Prince of Wales-Hyder Census Area, Alaska",5507,"Prince of Wales-Hyder Census Area, Alaska",0
G0202200,2006-2010,AK,,,Alaska,2,Sitka City and Borough,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02220,,,"Sitka City and Borough, Alaska",8894,"Sitka City and Borough, Alaska",0
G0202300,2006-2010,AK,,,Alaska,2,Skagway Municipality,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02230,,,"Skagway Municipality, Alaska",1140,"Skagway Municipality, Alaska",196
G0202400,2006-2010,AK,,,Alaska,2,Southeast Fairbanks Census Area,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02240,,,"Southeast Fairbanks Census Area, Alaska",6935,"Southeast Fairbanks Census Area, Alaska",0
G0202610,2006-2010,AK,,,Alaska,2,Valdez-Cordova Census Area,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02261,,,"Valdez-Cordova Census Area, Alaska",9606,"Valdez-Cordova Census Area, Alaska",0
G0202700,2006-2010,AK,,,Alaska,2,Wade Hampton Census Area,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02270,,,"Wade Hampton Census Area, Alaska",7398,"Wade Hampton Census Area, Alaska",0
G0202750,2006-2010,AK,,,Alaska,2,Wrangell City and Borough,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02275,,,"Wrangell City and Borough, Alaska",2338,"Wrangell City and Borough, Alaska",0
G0202820,2006-2010,AK,,,Alaska,2,Yakutat City and Borough,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02282,,,"Yakutat City and Borough, Alaska",638,"Yakutat City and Borough, Alaska",113
G0202900,2006-2010,AK,,,Alaska,2,Yukon-Koyukuk Census Area,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02290,,,"Yukon-Koyukuk Census Area, Alaska",5635,"Yukon-Koyukuk Census Area, Alaska",0
G0400010,2006-2010,AZ,,,Arizona,4,Apache County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04001,,,"Apache County, Arizona",70312,"Apache County, Arizona",0
G0400030,2006-2010,AZ,,,Arizona,4,Cochise County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04003,,,"Cochise County, Arizona",129268,"Cochise County, Arizona",0
G0400050,2006-2010,AZ,,,Arizona,4,Coconino County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04005,,,"Coconino County, Arizona",131824,"Coconino County, Arizona",0
G0400070,2006-2010,AZ,,,Arizona,4,Gila County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04007,,,"Gila County, Arizona",53272,"Gila County, Arizona",0
G0400090,2006-2010,AZ,,,Arizona,4,Graham County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04009,,,"Graham County, Arizona",36030,"Graham County, Arizona",0
G0400110,2006-2010,AZ,,,Arizona,4,Greenlee County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04011,,,"Greenlee County, Arizona",8318,"Greenlee County, Arizona",0
G0400120,2006-2010,AZ,,,Arizona,4,La Paz County,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04012,,,"La Paz County, Arizona",20549,"La Paz County, Arizona",0
G0400130,2006-2010,AZ,,,Arizona,4,Maricopa County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04013,,,"Maricopa County, Arizona",3751410,"Maricopa County, Arizona",0
G0400150,2006-2010,AZ,,,Arizona,4,Mohave County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04015,,,"Mohave County, Arizona",199177,"Mohave County, Arizona",0
G0400170,2006-2010,AZ,,,Arizona,4,Navajo County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04017,,,"Navajo County, Arizona",107060,"Navajo County, Arizona",0
G0400190,2006-2010,AZ,,,Arizona,4,Pima County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04019,,,"Pima County, Arizona",964462,"Pima County, Arizona",0
G0400210,2006-2010,AZ,,,Arizona,4,Pinal County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04021,,,"Pinal County, Arizona",329297,"Pinal County, Arizona",0
G0400230,2006-2010,AZ,,,Arizona,4,Santa Cruz County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04023,,,"Santa Cruz County, Arizona",46051,"Santa Cruz County, Arizona",0
G0400250,2006-2010,AZ,,,Arizona,4,Yavapai County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04025,,,"Yavapai County, Arizona",209260,"Yavapai County, Arizona",0
G0400270,2006-2010,AZ,,,Arizona,4,Yuma County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04027,,,"Yuma County, Arizona",190526,"Yuma County, Arizona",0
G0500010,2006-2010,AR,,,Arkansas,5,Arkansas County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05001,,,"Arkansas County, Arkansas",19321,"Arkansas County, Arkansas",0
G0500030,2006-2010,AR,,,Arkansas,5,Ashley County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05003,,,"Ashley County, Arkansas",22126,"Ashley County, Arkansas",0
G0500050,2006-2010,AR,,,Arkansas,5,Baxter County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05005,,,"Baxter County, Arkansas",41388,"Baxter County, Arkansas",0
G0500070,2006-2010,AR,,,Arkansas,5,Benton County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05007,,,"Benton County, Arkansas",209911,"Benton County, Arkansas",0
G0500090,2006-2010,AR,,,Arkansas,5,Boone County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05009,,,"Boone County, Arkansas",36710,"Boone County, Arkansas",0
G0500110,2006-2010,AR,,,Arkansas,5,Bradley County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05011,,,"Bradley County, Arkansas",11638,"Bradley County, Arkansas",0
G0500130,2006-2010,AR,,,Arkansas,5,Calhoun County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05013,,,"Calhoun County, Arkansas",5529,"Calhoun County, Arkansas",0
G0500150,2006-2010,AR,,,Arkansas,5,Carroll County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05015,,,"Carroll County, Arkansas",26971,"Carroll County, Arkansas",0
G0500170,2006-2010,AR,,,Arkansas,5,Chicot County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05017,,,"Chicot County, Arkansas",12102,"Chicot County, Arkansas",0
G0500190,2006-2010,AR,,,Arkansas,5,Clark County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05019,,,"Clark County, Arkansas",23083,"Clark County, Arkansas",0
G0500210,2006-2010,AR,,,Arkansas,5,Clay County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05021,,,"Clay County, Arkansas",16297,"Clay County, Arkansas",0
G0500230,2006-2010,AR,,,Arkansas,5,Cleburne County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05023,,,"Cleburne County, Arkansas",25692,"Cleburne County, Arkansas",0
G0500250,2006-2010,AR,,,Arkansas,5,Cleveland County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05025,,,"Cleveland County, Arkansas",8769,"Cleveland County, Arkansas",0
G0500270,2006-2010,AR,,,Arkansas,5,Columbia County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05027,,,"Columbia County, Arkansas",24756,"Columbia County, Arkansas",0
G0500290,2006-2010,AR,,,Arkansas,5,Conway County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05029,,,"Conway County, Arkansas",21059,"Conway County, Arkansas",0
G0500310,2006-2010,AR,,,Arkansas,5,Craighead County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05031,,,"Craighead County, Arkansas",93329,"Craighead County, Arkansas",0
G0500330,2006-2010,AR,,,Arkansas,5,Crawford County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05033,,,"Crawford County, Arkansas",60778,"Crawford County, Arkansas",0
G0500350,2006-2010,AR,,,Arkansas,5,Crittenden County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05035,,,"Crittenden County, Arkansas",50673,"Crittenden County, Arkansas",0
G0500370,2006-2010,AR,,,Arkansas,5,Cross County,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05037,,,"Cross County, Arkansas",18144,"Cross County, Arkansas",0
G0500390,2006-2010,AR,,,Arkansas,5,Dallas County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05039,,,"Dallas County, Arkansas",8280,"Dallas County, Arkansas",0
G0500410,2006-2010,AR,,,Arkansas,5,Desha County,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05041,,,"Desha County, Arkansas",13351,"Desha County, Arkansas",0
G0500430,2006-2010,AR,,,Arkansas,5,Drew County,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05043,,,"Drew County, Arkansas",18546,"Drew County, Arkansas",0
G0500450,2006-2010,AR,,,Arkansas,5,Faulkner County,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05045,,,"Faulkner County, Arkansas",108375,"Faulkner County, Arkansas",0
G0500470,2006-2010,AR,,,Arkansas,5,Franklin County,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05047,,,"Franklin County, Arkansas",18176,"Franklin County, Arkansas",0
G0500490,2006-2010,AR,,,Arkansas,5,Fulton County,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05049,,,"Fulton County, Arkansas",12263,"Fulton County, Arkansas",0
G0500510,2006-2010,AR,,,Arkansas,5,Garland County,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05051,,,"Garland County, Arkansas",95290,"Garland County, Arkansas",0
G0500530,2006-2010,AR,,,Arkansas,5,Grant County,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05053,,,"Grant County, Arkansas",17657,"Grant County, Arkansas",0
